Event ID,Year,Event Description,Category,Era
44,-490,The Athenians defeat the Persians at the Battle of Marathon.,Politics/War,Ancient World
425,-485,"The catapult is invented by Ajatashatru in Magadha, India.",Science/Tech,Ancient World
45,-469,"The philosopher Socrates is born in Athens, Greece.",Arts/Culture,Ancient World
46,-447,Construction begins on the Parthenon temple on the Athenian Acropolis.,Arts/Culture,Ancient World
47,-431,The Peloponnesian War begins between Athens and Sparta.,Politics/War,Ancient World
48,-399,Socrates is tried and executed in Athens for corrupting the youth.,Politics/War,Ancient World
49,-387,"Plato founds the Academy in Athens, one of the earliest institutions of higher learning.",Arts/Culture,Ancient World
50,-336,"Alexander the Great becomes king of Macedon after the assassination of his father, Philip II.",Politics/War,Ancient World
51,-323,"Alexander the Great dies in Babylon, ending his vast conquests.",Politics/War,Ancient World
52,-300,"Euclid writes Elements, a foundational work of geometry.",Science/Tech,Ancient World
53,-268,The Mauryan Empire under Ashoka the Great flourishes in India.,Politics/War,Ancient World
426,-250,Glassblowing is invented by Syrian craftsmen in Babylonia.,Science/Tech,Ancient World
54,-221,Qin Shi Huang unifies China and begins construction of the Great Wall.,Politics/War,Ancient World
55,-218,Hannibal of Carthage crosses the Alps with elephants to invade Italy.,Politics/War,Ancient World
56,-200,Paper is invented in China during the Han Dynasty.,Science/Tech,Ancient World
57,-146,"Rome destroys Carthage, ending the Punic Wars and securing Mediterranean dominance.",Politics/War,Ancient World
58,-100,Julius Caesar is born in Rome.,Politics/War,Ancient World
59,-73,The slave rebellion led by Spartacus begins in the Roman Republic.,Politics/War,Ancient World
60,-44,Julius Caesar is assassinated by a group of Roman senators.,Politics/War,Ancient World
61,-27,"Octavian is granted the title Augustus, marking the end of the Roman Republic and the beginning of the Roman Empire.",Politics/War,Ancient World
62,-4,Jesus Christ is born in Bethlehem (widely accepted date).,Arts/Culture,Ancient World
427,1,"The aeolipile, a simple steam turbine, is described by Hero of Alexandria.",Science/Tech,Ancient World
63,29,Jesus Christ is crucified in Jerusalem.,Arts/Culture,Ancient World
64,64,"The Great Fire of Rome occurs, which Emperor Nero blames on Christians.",Civilization,Ancient World
65,70,Roman armies under Titus destroy the Second Temple in Jerusalem.,Politics/War,Ancient World
66,79,"Mount Vesuvius erupts, destroying the Roman cities of Pompeii and Herculaneum.",Civilization,Ancient World
67,80,The Colosseum is completed in Rome.,Arts/Culture,Ancient World
68,105,Cai Lun is credited with standardizing paper production in China.,Science/Tech,Ancient World
69,122,Construction begins on Hadrian's Wall in Roman Britain.,Politics/War,Ancient World
70,132,The seismometer is invented in Han Dynasty China by Zhang Heng.,Science/Tech,Ancient World
71,220,"The Han Dynasty collapses, leading to the Three Kingdoms period in China.",Politics/War,Ancient World
72,286,The Roman Empire is divided into Eastern and Western halves by Emperor Diocletian.,Politics/War,Ancient World
73,313,"Emperor Constantine issues the Edict of Milan, granting religious tolerance to Christians in the Roman Empire.",Politics/War,Ancient World
74,325,The First Council of Nicaea establishes the core tenets of Christian orthodoxy.,Arts/Culture,Ancient World
75,330,Constantine the Great moves the capital of the Roman Empire to Constantinople.,Politics/War,Ancient World
76,395,The Roman Empire is permanently split into the Eastern and Western Roman Empires.,Politics/War,Ancient World
428,400,The rust-resistant Iron pillar of Delhi is constructed in India.,Science/Tech,Ancient World
77,410,"The Visigoths, led by Alaric, sack the city of Rome.",Politics/War,Ancient World
78,455,"The Vandals sack Rome, contributing to the Western Empire's decline.",Politics/War,Ancient World
79,476,"The last Western Roman Emperor, Romulus Augustulus, is deposed, marking the fall of the Western Roman Empire.",Politics/War,Ancient World
80,527,Justinian I becomes emperor of the Byzantine (Eastern Roman) Empire.,Politics/War,Post-Classical/Early Modern
81,529,"The Academy in Athens, founded by Plato, is closed by Emperor Justinian.",Arts/Culture,Post-Classical/Early Modern
82,537,The Hagia Sophia cathedral is completed in Constantinople under Justinian I.,Arts/Culture,Post-Classical/Early Modern
83,570,"The Prophet Muhammad, founder of Islam, is born in Mecca.",Arts/Culture,Post-Classical/Early Modern
84,589,Toilet paper is first mentioned in use in Sui Dynasty China.,Science/Tech,Post-Classical/Early Modern
429,589,"The horse collar is developed in China, revolutionizing agriculture.",Science/Tech,Post-Classical/Early Modern
85,618,"The Tang Dynasty is established in China, beginning a golden age of culture and innovation.",Politics/War,Post-Classical/Early Modern
430,619,The toothbrush is invented in Tang Dynasty China.,Science/Tech,Post-Classical/Early Modern
86,622,"The Prophet Muhammad migrates from Mecca to Medina (the Hijra), marking the beginning of the Islamic calendar.",Arts/Culture,Post-Classical/Early Modern
87,632,"The Prophet Muhammad dies, leading to the establishment of the first Caliphate.",Politics/War,Post-Classical/Early Modern
88,650,Porcelain is invented by Chinese artists during the Tang Dynasty.,Science/Tech,Post-Classical/Early Modern
89,672,"Greek fire, an incendiary weapon, is invented in the Byzantine Empire.",Science/Tech,Post-Classical/Early Modern
90,711,Muslim forces cross the Strait of Gibraltar and begin the conquest of the Iberian Peninsula.,Politics/War,Post-Classical/Early Modern
91,732,"Charles Martel's Frankish army defeats Muslim invaders at the Battle of Tours, halting their advance into Europe.",Politics/War,Post-Classical/Early Modern
92,793,"Vikings raid the monastery at Lindisfarne, marking the beginning of the Viking Age in Europe.",Politics/War,Post-Classical/Early Modern
93,800,"Charlemagne is crowned Emperor of the Romans by Pope Leo III, founding the Carolingian Empire.",Politics/War,Post-Classical/Early Modern
94,800,Gunpowder is invented by alchemists in Tang Dynasty China.,Science/Tech,Post-Classical/Early Modern
95,820,The mathematician al-Khwarizmi writes a foundational book on algebra in Baghdad.,Science/Tech,Post-Classical/Early Modern
96,868,"The Diamond Sutra is printed in China, the world's earliest dated, printed book.",Arts/Culture,Post-Classical/Early Modern
97,960,"The Song Dynasty is established in China, known for its technological advancements.",Politics/War,Post-Classical/Early Modern
431,974,The first fountain pen is invented in Arab Egypt.,Science/Tech,Post-Classical/Early Modern
98,1000,"Leif Erikson, a Norse explorer, lands in North America, which he calls Vinland.",Exploration,Post-Classical/Early Modern
432,1025,Musical notes (solmization) are invented by Guido of Arezzo.,Arts/Culture,Post-Classical/Early Modern
99,1054,The Great Schism formally divides the Christian church into the Roman Catholic and Eastern Orthodox branches.,Arts/Culture,Post-Classical/Early Modern
100,1066,"William the Conqueror leads the Norman invasion of England, winning the Battle of Hastings.",Politics/War,Post-Classical/Early Modern
101,1088,The first movable type printing system is invented by Bi Sheng in Song Dynasty China.,Science/Tech,Post-Classical/Early Modern
102,1096,The First Crusade is launched by European Christians to reclaim the Holy Land.,Politics/War,Post-Classical/Early Modern
103,1117,The University of Oxford is established in England.,Civilization,Post-Classical/Early Modern
104,1150,The University of Paris is established in France.,Civilization,Post-Classical/Early Modern
105,1187,Saladin recaptures Jerusalem from the Crusaders.,Politics/War,Post-Classical/Early Modern
106,1199,Europeans first begin to use the magnetic compass for navigation.,Science/Tech,Post-Classical/Early Modern
107,1206,"Genghis Khan is proclaimed ruler of all Mongols, beginning the expansion of the Mongol Empire.",Politics/War,Post-Classical/Early Modern
108,1209,The University of Cambridge is established in England.,Civilization,Post-Classical/Early Modern
109,1215,"King John of England is forced to sign the Magna Carta, limiting royal power.",Politics/War,Post-Classical/Early Modern
433,1250,"The first known musical round, ""Sumer is icumen in,"" is written in England.",Arts/Culture,Post-Classical/Early Modern
110,1271,Marco Polo begins his famous journey to China along the Silk Road.,Exploration,Post-Classical/Early Modern
111,1286,The first eyeglasses are invented in Italy.,Science/Tech,Post-Classical/Early Modern
112,1299,Osman I establishes the Ottoman Empire in Anatolia.,Politics/War,Post-Classical/Early Modern
113,1306,"The artist Giotto completes the Scrovegni Chapel frescoes, a landmark of the early Renaissance.",Arts/Culture,Post-Classical/Early Modern
114,1325,The Aztecs found the city of Tenochtitlan on Lake Texcoco.,Civilization,Post-Classical/Early Modern
115,1347,"The Black Death pandemic arrives in Europe, eventually killing a third of the population.",Civilization,Post-Classical/Early Modern
116,1368,"The Ming Dynasty is established in China, overthrowing Mongol rule.",Politics/War,Post-Classical/Early Modern
117,1397,"The Medici Bank is established in Florence, fueling the Renaissance.",Civilization,Post-Classical/Early Modern
118,1405,Chinese admiral Zheng He begins his series of seven major naval expeditions.,Exploration,Post-Classical/Early Modern
434,1420,"The use of a single, consistent light source in painting is pioneered by Masaccio.",Arts/Culture,Post-Classical/Early Modern
119,1429,Joan of Arc leads the French army to victory at the Siege of Orléans.,Politics/War,Post-Classical/Early Modern
120,1434,"Jan van Eyck paints The Arnolfini Portrait, a masterpiece of the Northern Renaissance.",Arts/Culture,Post-Classical/Early Modern
121,1436,Filippo Brunelleschi completes the dome of the Florence Cathedral.,Arts/Culture,Post-Classical/Early Modern
122,1439,"Johannes Gutenberg invents the printing press with movable type in Mainz, Germany.",Science/Tech,Post-Classical/Early Modern
123,1453,"The Ottoman Empire, under Sultan Mehmed II, conquers Constantinople, ending the Byzantine Empire.",Politics/War,Post-Classical/Early Modern
124,1455,"The Gutenberg Bible is printed, the first major book printed using movable type.",Arts/Culture,Post-Classical/Early Modern
125,1485,Leonardo da Vinci invents the sfumato painting technique.,Arts/Culture,Post-Classical/Early Modern
126,1488,"Bartolomeu Dias of Portugal rounds the Cape of Good Hope, opening a sea route to the East.",Exploration,Post-Classical/Early Modern
127,1492,"Christopher Columbus, sailing for Spain, makes his first voyage to the Americas, landing in the Bahamas.",Exploration,Post-Classical/Early Modern
128,1494,The Treaty of Tordesillas divides the newly discovered lands outside Europe between Portugal and Spain.,Politics/War,Post-Classical/Early Modern
129,1498,"Vasco da Gama of Portugal arrives in India, establishing a direct sea route from Europe.",Exploration,Post-Classical/Early Modern
130,1503,Leonardo da Vinci begins painting the Mona Lisa.,Arts/Culture,Post-Classical/Early Modern
131,1508,Michelangelo begins painting the ceiling of the Sistine Chapel in Rome.,Arts/Culture,Post-Classical/Early Modern
132,1513,"Niccolò Machiavelli writes The Prince, a foundational work of modern political science.",Arts/Culture,Post-Classical/Early Modern
133,1517,"Martin Luther posts his Ninety-five Theses, beginning the Protestant Reformation.",Arts/Culture,Post-Classical/Early Modern
134,1519,Hernán Cortés begins the Spanish conquest of the Aztec Empire.,Politics/War,Post-Classical/Early Modern
135,1522,Ferdinand Magellan's expedition completes the first circumnavigation of the Earth.,Exploration,Post-Classical/Early Modern
136,1533,Francisco Pizarro completes the Spanish conquest of the Inca Empire.,Politics/War,Post-Classical/Early Modern
137,1543,"Nicolaus Copernicus publishes On the Revolutions of the Heavenly Spheres, proposing a heliocentric model of the universe.",Science/Tech,Post-Classical/Early Modern
138,1545,"The Council of Trent begins, marking the start of the Catholic Counter-Reformation.",Arts/Culture,Post-Classical/Early Modern
139,1558,"Elizabeth I becomes Queen of England, beginning the Elizabethan era.",Politics/War,Post-Classical/Early Modern
140,1564,"William Shakespeare is born in Stratford-upon-Avon, England.",Arts/Culture,Post-Classical/Early Modern
141,1569,"Gerardus Mercator creates the Mercator projection map, revolutionizing navigation.",Science/Tech,Post-Classical/Early Modern
142,1582,Pope Gregory XIII introduces the Gregorian calendar.,Civilization,Post-Classical/Early Modern
143,1588,"The English fleet defeats the Spanish Armada, preventing an invasion of England.",Politics/War,Post-Classical/Early Modern
435,1597,Opera is invented by Jacopo Peri with his work Dafne.,Arts/Culture,Post-Classical/Early Modern
144,1600,"The British East India Company is founded, becoming a major force in global trade and colonialism.",Civilization,Post-Classical/Early Modern
145,1602,"The Dutch East India Company is established, the first multinational corporation.",Civilization,Post-Classical/Early Modern
146,1603,"The Tokugawa shogunate is established in Japan, beginning a long period of isolationist rule.",Politics/War,Post-Classical/Early Modern
436,1605,"The first newspaper, Relation, is published by Johann Carolus in Strassburg.",Civilization,Post-Classical/Early Modern
147,1607,"The first permanent English settlement in North America is established at Jamestown, Virginia.",Exploration,Post-Classical/Early Modern
148,1608,The telescope is invented in the Netherlands.,Science/Tech,Post-Classical/Early Modern
149,1610,"Galileo Galilei observes the moons of Jupiter, supporting the heliocentric model.",Science/Tech,Post-Classical/Early Modern
150,1618,The Thirty Years' War begins in Central Europe.,Politics/War,Post-Classical/Early Modern
151,1620,"The Pilgrims land at Plymouth Rock, establishing a colony in Massachusetts.",Exploration,Post-Classical/Early Modern
437,1620,The first compound microscope appears in Europe.,Science/Tech,Post-Classical/Early Modern
152,1632,The city of Boston is founded in the Massachusetts Bay Colony.,Civilization,Post-Classical/Early Modern
153,1636,"Harvard University is founded in Cambridge, Massachusetts, the oldest institution of higher learning in the U.S.",Civilization,Post-Classical/Early Modern
154,1642,The English Civil War begins between Parliamentarians and Royalists.,Politics/War,Post-Classical/Early Modern
438,1642,The mechanical calculator (Pascaline) is built by Blaise Pascal.,Science/Tech,Post-Classical/Early Modern
155,1643,The barometer is invented by Evangelista Torricelli.,Science/Tech,Post-Classical/Early Modern
156,1644,The Ming Dynasty in China collapses and is replaced by the Qing Dynasty.,Politics/War,Post-Classical/Early Modern
157,1649,"King Charles I of England is executed, and the Commonwealth of England is established.",Politics/War,Post-Classical/Early Modern
158,1652,The Dutch East India Company founds Cape Town in South Africa.,Civilization,Post-Classical/Early Modern
159,1656,"The pendulum clock is invented by Christiaan Huygens, greatly improving timekeeping accuracy.",Science/Tech,Post-Classical/Early Modern
160,1665,Robert Hooke discovers cells using a microscope.,Science/Tech,Post-Classical/Early Modern
161,1666,The Great Fire of London destroys large parts of the city.,Civilization,Post-Classical/Early Modern
162,1682,"Peter the Great becomes Tsar of Russia, beginning a period of modernization.",Politics/War,Post-Classical/Early Modern
163,1687,"Isaac Newton publishes Philosophiæ Naturalis Principia Mathematica, outlining the laws of motion and universal gravitation.",Science/Tech,Post-Classical/Early Modern
164,1688,The Glorious Revolution in England establishes a constitutional monarchy.,Politics/War,Post-Classical/Early Modern
165,1694,"The Bank of England is established, centralizing the nation's finances.",Civilization,Post-Classical/Early Modern
439,1698,Thomas Savery develops a steam-powered water pump for draining mines.,Science/Tech,Post-Classical/Early Modern
166,1707,The Acts of Union unite the Kingdom of England and the Kingdom of Scotland to create Great Britain.,Politics/War,Post-Classical/Early Modern
167,1709,Bartolomeo Cristofori crafts the first piano.,Arts/Culture,Post-Classical/Early Modern
168,1712,Thomas Newcomen builds the first commercially successful steam engine.,Science/Tech,Post-Classical/Early Modern
440,1733,"The flying shuttle is invented by John Kay, speeding up the weaving process.",Science/Tech,Post-Classical/Early Modern
169,1751,"Denis Diderot's Encyclopédie is first published, a key text of the Enlightenment.",Arts/Culture,Post-Classical/Early Modern
170,1752,"Benjamin Franklin conducts his kite experiment, proving that lightning is electricity.",Science/Tech,Post-Classical/Early Modern
171,1756,"The Seven Years' War, a global conflict, begins between major European powers.",Politics/War,Post-Classical/Early Modern
172,1760,The Industrial Revolution begins to accelerate in Great Britain.,Science/Tech,Post-Classical/Early Modern
441,1764,"The spinning jenny is invented by James Hargreaves, revolutionizing textile production.",Science/Tech,Post-Classical/Early Modern
173,1765,"James Watt invents the improved steam engine with a separate condenser, a key innovation of the Industrial Revolution.",Science/Tech,Post-Classical/Early Modern
174,1769,Nicolas-Joseph Cugnot builds the first steam-powered automobile.,Science/Tech,Post-Classical/Early Modern
175,1770,James Cook claims the east coast of Australia for Great Britain.,Exploration,Post-Classical/Early Modern
176,1773,The Boston Tea Party protests British taxation in the American colonies.,Politics/War,Post-Classical/Early Modern
177,1776,The American colonies declare independence from Great Britain on July 4th.,Politics/War,Post-Classical/Early Modern
178,1776,"Adam Smith publishes The Wealth of Nations, a foundational text of modern economics.",Civilization,Post-Classical/Early Modern
179,1781,The planet Uranus is discovered by William Herschel.,Science/Tech,Post-Classical/Early Modern
180,1783,The Montgolfier brothers launch the first manned hot air balloon flight in Paris.,Exploration,Post-Classical/Early Modern
181,1783,"The Treaty of Paris is signed, officially ending the American Revolutionary War.",Politics/War,Post-Classical/Early Modern
182,1787,The United States Constitution is written in Philadelphia.,Politics/War,Post-Classical/Early Modern
183,1789,The French Revolution begins with the storming of the Bastille.,Politics/War,Post-Classical/Early Modern
442,1790,The first sewing machine is invented by Thomas Saint.,Science/Tech,Post-Classical/Early Modern
184,1791,The Bill of Rights is added to the U.S. Constitution.,Politics/War,Post-Classical/Early Modern
443,1792,The modern semaphore telegraph is invented by Claude Chappe.,Science/Tech,Post-Classical/Early Modern
185,1793,"Eli Whitney invents the cotton gin, revolutionizing the cotton industry and entrenching slavery in the American South.",Science/Tech,Post-Classical/Early Modern
186,1796,"Edward Jenner develops the first successful vaccine, for smallpox.",Science/Tech,Post-Classical/Early Modern
187,1799,"The Rosetta Stone is discovered in Egypt, providing the key to deciphering ancient hieroglyphs.",Science/Tech,Post-Classical/Early Modern
188,1799,Napoleon Bonaparte comes to power in France in a coup d'état.,Politics/War,Post-Classical/Early Modern
189,1800,"Alessandro Volta invents the voltaic pile, the first chemical battery.",Science/Tech,Modern Era
190,1803,"The United States purchases the Louisiana Territory from France, doubling the size of the country.",Politics/War,Modern Era
191,1804,Napoleon Bonaparte crowns himself Emperor of the French.,Politics/War,Modern Era
192,1804,"Haiti declares independence from France, becoming the first black republic.",Politics/War,Modern Era
193,1804,Richard Trevithick invents the first steam locomotive.,Science/Tech,Modern Era
194,1805,Napoleon wins a decisive victory at the Battle of Austerlitz.,Politics/War,Modern Era
195,1814,The first powered printing press is invented by Friedrich Koenig.,Science/Tech,Modern Era
196,1815,"Napoleon is defeated at the Battle of Waterloo, ending his rule.",Politics/War,Modern Era
197,1816,René Laennec invents the stethoscope.,Science/Tech,Modern Era
444,1816,The first stethoscope is invented by René Laennec.,Science/Tech,Modern Era
198,1820,Antarctica is first sighted by a Russian expedition.,Exploration,Modern Era
445,1821,The harmonica is invented by Christian Friedrich Ludwig Buschmann.,Arts/Culture,Modern Era
199,1822,Jean-François Champollion deciphers the Rosetta Stone.,Science/Tech,Modern Era
200,1823,"The Monroe Doctrine is declared, opposing European colonialism in the Americas.",Politics/War,Modern Era
201,1825,The world's first public railway opens between Stockton and Darlington in England.,Science/Tech,Modern Era
202,1826,The first photograph is taken by Nicéphore Niépce.,Science/Tech,Modern Era
203,1829,Louis Braille invents the Braille reading system for the blind.,Science/Tech,Modern Era
446,1830,The lawn mower is invented by Edwin Budding.,Science/Tech,Modern Era
204,1831,"Michael Faraday discovers electromagnetic induction, the principle behind the electric generator.",Science/Tech,Modern Era
205,1833,The Slavery Abolition Act bans slavery throughout the British Empire.,Politics/War,Modern Era
206,1837,Samuel Morse invents Morse code for the telegraph.,Science/Tech,Modern Era
207,1838,Charles Darwin develops his theory of evolution by natural selection.,Science/Tech,Modern Era
208,1839,The First Opium War begins between Britain and China.,Politics/War,Modern Era
447,1839,Vulcanized rubber is invented by Charles Goodyear.,Science/Tech,Modern Era
209,1840,"The Treaty of Waitangi is signed, establishing New Zealand as a British colony.",Politics/War,Modern Era
210,1842,Anesthesia is used for the first time in surgery.,Science/Tech,Modern Era
448,1844,The first modern general anesthetic is created by Hanaoka Seishū.,Science/Tech,Modern Era
211,1845,"The Irish Potato Famine begins, leading to mass starvation and emigration.",Civilization,Modern Era
212,1846,The Mexican-American War begins over territorial disputes.,Politics/War,Modern Era
213,1848,Karl Marx and Friedrich Engels publish The Communist Manifesto.,Arts/Culture,Modern Era
214,1848,"The California Gold Rush begins, sparking mass migration to the West Coast of the U.S.",Civilization,Modern Era
449,1849,The safety pin is invented by Walter Hunt.,Science/Tech,Modern Era
215,1851,"The Great Exhibition is held in London's Crystal Palace, showcasing industrial technology.",Civilization,Modern Era
216,1852,"Harriet Beecher Stowe publishes Uncle Tom's Cabin, galvanizing anti-slavery sentiment.",Arts/Culture,Modern Era
450,1852,The safety brake elevator is invented by Elisha Otis.,Science/Tech,Modern Era
217,1854,"The Crimean War begins, pitting Russia against an alliance of Britain, France, and the Ottoman Empire.",Politics/War,Modern Era
218,1855,The Bessemer process for mass-producing steel is patented by Henry Bessemer.,Science/Tech,Modern Era
451,1856,"Parkesine, the first man-made plastic, is invented by Alexander Parkes.",Science/Tech,Modern Era
219,1857,The Indian Rebellion of 1857 begins against British rule.,Politics/War,Modern Era
220,1859,Charles Darwin publishes On the Origin of Species.,Science/Tech,Modern Era
221,1859,"The Suez Canal construction begins, connecting the Mediterranean and Red Seas.",Science/Tech,Modern Era
222,1861,The American Civil War begins with the Confederate attack on Fort Sumter.,Politics/War,Modern Era
223,1861,Serfdom is abolished in Russia by Tsar Alexander II.,Politics/War,Modern Era
224,1862,The first paper money is issued in the United States.,Civilization,Modern Era
225,1863,President Abraham Lincoln issues the Emancipation Proclamation.,Politics/War,Modern Era
452,1863,"The first London Underground line opens, the world's first subway system.",Science/Tech,Modern Era
226,1864,Louis Pasteur invents the pasteurization process.,Science/Tech,Modern Era
227,1865,Abraham Lincoln is assassinated by John Wilkes Booth.,Politics/War,Modern Era
228,1867,The United States purchases Alaska from Russia.,Politics/War,Modern Era
229,1867,Alfred Nobel invents dynamite.,Science/Tech,Modern Era
453,1867,Barbed wire is invented by Lucien B. Smith.,Science/Tech,Modern Era
230,1868,"The Meiji Restoration begins in Japan, leading to rapid modernization.",Politics/War,Modern Era
231,1869,The First Transcontinental Railroad is completed in the United States.,Science/Tech,Modern Era
232,1869,Dmitri Mendeleev creates the Periodic Table of Elements.,Science/Tech,Modern Era
233,1870,"The Franco-Prussian War begins, leading to the unification of Germany.",Politics/War,Modern Era
234,1871,The German Empire is proclaimed with Wilhelm I as Emperor and Otto von Bismarck as Chancellor.,Politics/War,Modern Era
235,1872,Yellowstone National Park is established as the world's first national park.,Civilization,Modern Era
454,1873,"The first practical typewriter, the Sholes and Glidden typewriter, is produced.",Science/Tech,Modern Era
236,1876,Alexander Graham Bell is granted a patent for the telephone.,Science/Tech,Modern Era
237,1876,"The Battle of the Little Bighorn takes place, where Lakota, Cheyenne, and Arapaho warriors defeat the U.S. 7th Cavalry.",Politics/War,Modern Era
238,1877,"Thomas Edison invents the phonograph, the first device to record and reproduce sound.",Science/Tech,Modern Era
239,1879,Thomas Edison patents a practical incandescent light bulb.,Science/Tech,Modern Era
240,1882,Robert Koch identifies the bacterium that causes tuberculosis.,Science/Tech,Modern Era
241,1884,"The Prime Meridian is established at Greenwich, London, standardizing global time and longitude.",Science/Tech,Modern Era
455,1884,The first practical machine gun is invented by Hiram Maxim.,Science/Tech,Modern Era
242,1885,The first modern safety bicycle is invented by John Kemp Starley.,Science/Tech,Modern Era
243,1886,"Karl Benz patents the Benz Patent-Motorwagen, the first gasoline-powered automobile.",Science/Tech,Modern Era
244,1887,"Sir Arthur Conan Doyle publishes the first Sherlock Holmes story, A Study in Scarlet.",Arts/Culture,Modern Era
245,1888,Heinrich Hertz demonstrates the existence of radio waves.,Science/Tech,Modern Era
456,1888,The ballpoint pen is invented by John J. Loud.,Science/Tech,Modern Era
246,1889,The Eiffel Tower is inaugurated in Paris for the World's Fair.,Arts/Culture,Modern Era
247,1890,"The Wounded Knee Massacre occurs, the last major conflict of the American Indian Wars.",Politics/War,Modern Era
248,1891,The first public old-age pension scheme is initiated in Germany.,Civilization,Modern Era
457,1891,The zipper is invented by Whitcomb Judson.,Science/Tech,Modern Era
249,1892,Fingerprinting is officially adopted for criminal identification.,Science/Tech,Modern Era
250,1893,New Zealand becomes the first country to grant women the right to vote.,Politics/War,Modern Era
